x,y,yaw
298598.099,4137885.451,-1.928320
298598.026,4137885.265,-1.959460
298597.948,4137885.081,-1.989019
298597.864,4137884.899,-2.016859
298597.775,4137884.720,-2.042865
298597.682,4137884.543,-2.066951
298597.585,4137884.368,-2.089055
298597.484,4137884.195,-2.109136
298597.380,4137884.025,-2.127172
298597.273,4137883.856,-2.143153
298597.163,4137883.688,-2.157079
298597.052,4137883.522,-2.168959
298596.938,4137883.358,-2.178802
298596.823,4137883.194,-2.186623
298596.707,4137883.031,-2.192433
298596.590,4137882.869,-2.196244
298596.473,4137882.707,-2.198062
298596.356,4137882.545,-2.197893
298596.239,4137882.383,-2.195737
298596.122,4137882.220,-2.191589
298596.006,4137882.057,-2.185443
298595.891,4137881.894,-2.177289
298595.778,4137881.729,-2.170635
298595.665,4137881.564,-2.169993
298595.552,4137881.399,-2.175394
298595.438,4137881.235,-2.184743
298595.322,4137881.072,-2.193541
298595.204,4137880.910,-2.201634
298595.086,4137880.749,-2.209024
298594.966,4137880.588,-2.215708
298594.845,4137880.429,-2.221688
298594.724,4137880.270,-2.226965
298594.601,4137880.112,-2.231538
298594.478,4137879.954,-2.235410
298594.355,4137879.797,-2.238582
298594.231,4137879.640,-2.241053
298594.106,4137879.484,-2.242826
298593.982,4137879.327,-2.243900
298593.857,4137879.171,-2.244275
298593.732,4137879.015,-2.243952
298593.608,4137878.858,-2.243014
298593.483,4137878.702,-2.242071
298593.359,4137878.545,-2.241246
298593.235,4137878.388,-2.240539
298593.110,4137878.231,-2.239950
298592.986,4137878.074,-2.239479
298592.862,4137877.917,-2.239126
298592.739,4137877.760,-2.238891
298592.615,4137877.603,-2.238775
298592.491,4137877.446,-2.238777
298592.367,4137877.289,-2.238897
298592.243,4137877.132,-2.239136
298592.119,4137876.975,-2.239492
298591.995,4137876.819,-2.239967
298591.871,4137876.662,-2.240561
298591.747,4137876.505,-2.241047
298591.622,4137876.348,-2.240281
298591.498,4137876.191,-2.238939
298591.375,4137876.034,-2.237745
298591.251,4137875.877,-2.236699
298591.127,4137875.720,-2.235801
298591.004,4137875.562,-2.235051
298590.881,4137875.405,-2.234449
298590.758,4137875.247,-2.233996
298590.635,4137875.090,-2.233690
298590.512,4137874.932,-2.233532
298590.389,4137874.774,-2.233523
298590.265,4137874.617,-2.233662
298590.142,4137874.459,-2.233948
298590.019,4137874.301,-2.234383
298589.896,4137874.144,-2.234966
298589.773,4137873.986,-2.235697
298589.649,4137873.829,-2.236583
298589.526,4137873.672,-2.237627
298589.402,4137873.515,-2.238661
298589.278,4137873.358,-2.239586
298589.154,4137873.201,-2.240402
298589.030,4137873.044,-2.241108
298588.905,4137872.887,-2.241706
298588.781,4137872.731,-2.242195
298588.656,4137872.574,-2.242575
298588.532,4137872.418,-2.242846
298588.407,4137872.261,-2.243008
298588.283,4137872.105,-2.243061
298588.158,4137871.948,-2.243004
298588.034,4137871.792,-2.242839
298587.909,4137871.635,-2.242565
298587.785,4137871.479,-2.242182
298587.660,4137871.322,-2.241692
298587.536,4137871.165,-2.241155
298587.412,4137871.009,-2.240602
298587.288,4137870.852,-2.240076
298587.164,4137870.695,-2.239588
298587.040,4137870.538,-2.239137
298586.916,4137870.381,-2.238725
298586.792,4137870.224,-2.238350
298586.668,4137870.067,-2.238014
298586.545,4137869.910,-2.237716
298586.421,4137869.753,-2.237455
298586.297,4137869.595,-2.237233
298586.174,4137869.438,-2.237048
298586.050,4137869.281,-2.236902
298585.926,4137869.124,-2.236793
298585.803,4137868.966,-2.236723
298585.679,4137868.809,-2.236690
298585.556,4137868.652,-2.236710
298585.432,4137868.495,-2.236880
298585.309,4137868.337,-2.237149
298585.185,4137868.180,-2.237403
298585.061,4137868.023,-2.237640
298584.937,4137867.866,-2.237861
298584.814,4137867.709,-2.238065
298584.690,4137867.552,-2.238253
298584.566,4137867.395,-2.238425
298584.442,4137867.237,-2.238580
298584.318,4137867.080,-2.238719
298584.195,4137866.923,-2.238841
298584.071,4137866.766,-2.238946
298583.947,4137866.609,-2.239036
298583.823,4137866.452,-2.239109
298583.699,4137866.295,-2.239165
298583.575,4137866.139,-2.239205
298583.451,4137865.982,-2.238953
298583.327,4137865.825,-2.238080
298583.203,4137865.667,-2.236873
298583.080,4137865.510,-2.235800
298582.957,4137865.353,-2.234869
298582.833,4137865.195,-2.234079
298582.710,4137865.037,-2.233431
298582.587,4137864.880,-2.232924
298582.464,4137864.722,-2.232558
298582.342,4137864.564,-2.232333
298582.219,4137864.406,-2.232249
298582.096,4137864.248,-2.232307
298581.973,4137864.091,-2.232506
298581.850,4137863.933,-2.232847
298581.727,4137863.775,-2.233328
298581.604,4137863.618,-2.233951
298581.481,4137863.460,-2.234716
298581.357,4137863.303,-2.235545
298581.234,4137863.145,-2.236279
298581.111,4137862.988,-2.236910
298580.987,4137862.831,-2.237441
298580.863,4137862.673,-2.237869
298580.739,4137862.516,-2.238197
298580.616,4137862.359,-2.238422
