x,y,yaw
298529.256,4137874.840,-2.237148
298529.132,4137874.682,-2.237148
298529.009,4137874.525,-2.237148
298528.885,4137874.368,-2.237148
298528.762,4137874.211,-2.237148
298528.638,4137874.054,-2.237148
298528.515,4137873.897,-2.237148
298528.391,4137873.740,-2.237148
298528.267,4137873.583,-2.237148
298528.144,4137873.425,-2.237148
298528.020,4137873.268,-2.237148
298527.897,4137873.111,-2.237148
298527.773,4137872.954,-2.237148
298527.650,4137872.797,-2.237148
298527.526,4137872.640,-2.237148
298527.403,4137872.483,-2.237148
298527.279,4137872.325,-2.237148
298527.155,4137872.168,-2.237148
298527.032,4137872.011,-2.237148
298526.908,4137871.854,-2.237148
298526.785,4137871.697,-2.237148
298526.661,4137871.540,-2.237148
298526.538,4137871.383,-2.237148
298526.414,4137871.226,-2.237148
298526.291,4137871.068,-2.237148
298526.167,4137870.911,-2.237148
298526.043,4137870.754,-2.237148
298525.920,4137870.597,-2.237148
298525.796,4137870.440,-2.237148
298525.673,4137870.283,-2.237148
298525.549,4137870.126,-2.237148
298525.426,4137869.969,-2.237148
298525.302,4137869.811,-2.237148
298525.179,4137869.654,-2.237148
298525.055,4137869.497,-2.237148
298524.931,4137869.340,-2.237148
298524.808,4137869.183,-2.237148
298524.684,4137869.026,-2.237148
298524.561,4137868.869,-2.237148
298524.437,4137868.712,-2.233201
298524.314,4137868.554,-2.236774
298524.191,4137868.397,-2.244292
298524.066,4137868.240,-2.252837
298523.940,4137868.085,-2.260094
298523.813,4137867.931,-2.264284
298523.685,4137867.777,-2.264109
298523.557,4137867.624,-2.258690
298523.430,4137867.469,-2.247504
298523.305,4137867.313,-2.242732
298523.181,4137867.157,-2.239400
298523.057,4137867.000,-2.237585
298522.933,4137866.843,-2.237143
298522.810,4137866.686,-2.237768
298522.686,4137866.529,-2.239063
298522.562,4137866.372,-2.240615
298522.438,4137866.215,-2.242063
298522.314,4137866.058,-2.243172
298522.189,4137865.902,-2.243905
298522.065,4137865.746,-2.244355
298521.940,4137865.589,-2.244509
298521.815,4137865.433,-2.244401
298521.690,4137865.277,-2.244099
298521.566,4137865.121,-2.243692
298521.441,4137864.964,-2.243272
298521.317,4137864.808,-2.242919
298521.192,4137864.652,-2.242685
298521.068,4137864.495,-2.242585
298520.943,4137864.339,-2.242593
298520.819,4137864.182,-2.242688
298520.694,4137864.026,-2.242840
298520.570,4137863.869,-2.243012
298520.445,4137863.713,-2.243171
298520.321,4137863.556,-2.243293
298520.196,4137863.400,-2.243365
298520.072,4137863.244,-2.243395
298519.947,4137863.087,-2.243385
298519.823,4137862.931,-2.243331
298519.698,4137862.774,-2.243236
298519.574,4137862.618,-2.243111
298519.449,4137862.462,-2.242972
298519.325,4137862.305,-2.242836
298519.200,4137862.149,-2.242718
298519.076,4137861.992,-2.242629
298518.951,4137861.836,-2.242573
298518.827,4137861.679,-2.242547
298518.703,4137861.523,-2.242550
298518.578,4137861.366,-2.242582
298518.454,4137861.210,-2.242646
298518.329,4137861.054,-2.242738
298518.205,4137860.897,-2.242848
298518.080,4137860.741,-2.242965
298517.956,4137860.584,-2.243076
298517.831,4137860.428,-2.243172
298517.707,4137860.271,-2.243245
298517.582,4137860.115,-2.243295
298517.458,4137859.959,-2.243325
298517.333,4137859.802,-2.243334
298517.209,4137859.646,-2.243323
298517.084,4137859.489,-2.243292
298516.960,4137859.333,-2.243239
298516.835,4137859.177,-2.243162
298516.711,4137859.020,-2.243065
298516.586,4137858.864,-2.242962
298516.462,4137858.707,-2.242865
298516.337,4137858.551,-2.242790
298516.213,4137858.395,-2.242749
298516.088,4137858.238,-2.242751
298515.964,4137858.082,-2.242797
298515.839,4137857.925,-2.242895
298515.715,4137857.769,-2.243056
298515.590,4137857.612,-2.243244
298515.466,4137857.456,-2.243395
298515.341,4137857.300,-2.243423
298515.217,4137857.143,-2.243222
298515.092,4137856.987,-2.242729
298514.968,4137856.830,-2.241954
