x,y
298598.099,4137885.451
298597.575,4137884.351
298595.884,4137881.883
298595.528,4137881.364
298593.664,4137878.929
298591.814,4137876.590
298591.627,4137876.354
298589.788,4137874.006
298589.543,4137873.694
298587.689,4137871.358
298587.459,4137871.068
298585.614,4137868.726
298585.416,4137868.474
298583.569,4137866.131
298583.311,4137865.804
298581.455,4137863.427
298579.611,4137861.084
298579.505,4137860.949
298577.575,4137858.505
298575.726,4137856.154
298573.961,4137853.911
298572.296,4137851.809
298571.581,4137851.126
298570.840,4137850.575
298570.261,4137850.231
298569.364,4137849.817
298568.746,4137849.611
298567.742,4137849.365
298567.020,4137849.243
298565.980,4137849.155
298565.315,4137849.161
298564.300,4137849.235
298563.613,4137849.328
298562.656,4137849.558
298562.067,4137849.771
298561.300,4137850.109
298560.540,4137850.523
298559.704,4137850.978
298558.212,4137852.061
298556.472,4137853.448
298555.875,4137853.924
298554.187,4137855.270
298551.836,4137857.114
298550.740,4137857.973
298549.492,4137858.952
298547.141,4137860.796
298545.066,4137862.424
298544.798,4137862.634
298542.447,4137864.479
298540.104,4137866.316
298537.752,4137868.161
298536.459,4137869.175
298535.409,4137869.999
298533.064,4137871.843
298532.744,4137872.094
298530.395,4137873.943
298528.101,4137875.747
298525.748,4137877.597
298525.242,4137877.996
298525.173,4137878.050
