x,y,yaw
298426.019,4137762.008,2.475103
298425.862,4137762.132,2.475521
298425.704,4137762.256,2.475905
298425.546,4137762.379,2.476254
298425.389,4137762.503,2.476568
298425.231,4137762.627,2.476848
298425.073,4137762.750,2.477093
298424.916,4137762.874,2.477303
298424.758,4137762.997,2.477479
298424.600,4137763.121,2.477620
298424.442,4137763.244,2.477726
298424.285,4137763.367,2.477798
298424.127,4137763.491,2.477835
298423.969,4137763.614,2.477838
298423.811,4137763.738,2.477806
298423.653,4137763.861,2.477739
298423.496,4137763.985,2.477638
298423.338,4137764.108,2.477527
298423.180,4137764.231,2.477422
298423.022,4137764.355,2.477324
298422.865,4137764.478,2.477233
298422.707,4137764.602,2.477148
298422.549,4137764.726,2.477069
298422.392,4137764.849,2.476997
298422.234,4137764.973,2.476931
298422.076,4137765.096,2.476872
298421.919,4137765.220,2.476820
298421.761,4137765.343,2.476774
298421.603,4137765.467,2.476734
298421.446,4137765.591,2.476701
298421.288,4137765.714,2.476675
298421.130,4137765.838,2.476655
298420.973,4137765.961,2.476641
298420.815,4137766.085,2.476637
298420.657,4137766.209,2.476643
298420.500,4137766.332,2.476659
298420.342,4137766.456,2.476684
298420.184,4137766.579,2.476720
298420.027,4137766.703,2.476765
298419.869,4137766.827,2.476820
298419.711,4137766.950,2.476885
298419.554,4137767.074,2.476960
298419.396,4137767.197,2.477045
298419.238,4137767.321,2.477140
298419.081,4137767.444,2.477244
298418.923,4137767.568,2.477359
298418.765,4137767.691,2.477483
298418.607,4137767.815,2.477613
298418.450,4137767.938,2.477713
298418.292,4137768.062,2.477777
298418.134,4137768.185,2.477804
298417.976,4137768.308,2.477794
298417.818,4137768.432,2.477747
298417.661,4137768.555,2.477664
298417.503,4137768.679,2.477544
298417.345,4137768.802,2.477388
298417.187,4137768.926,2.477194
298417.030,4137769.049,2.476964
298416.872,4137769.173,2.476697
298416.714,4137769.297,2.476408
298416.557,4137769.420,2.476296
298416.399,4137769.544,2.476423
298416.241,4137769.667,2.476789
298416.084,4137769.791,2.477394
298415.926,4137769.914,2.478238
298415.768,4137770.038,2.479320
298415.610,4137770.161,2.480642
298415.452,4137770.284,2.482203
298415.293,4137770.406,2.484003
298415.135,4137770.528,2.486043
298414.976,4137770.650,2.488321
298414.817,4137770.772,2.490838
298414.657,4137770.893,2.493595
298414.497,4137771.014,2.496590
298414.337,4137771.134,2.499825
298414.176,4137771.254,2.503298
298414.015,4137771.373,2.507010
298413.853,4137771.491,2.510960
298413.691,4137771.609,2.515148
298413.529,4137771.726,2.519574
298413.366,4137771.842,2.527106
298413.201,4137771.956,2.553193
298413.032,4137772.064,2.588318
298412.860,4137772.167,2.611445
298412.687,4137772.267,2.622190
298412.513,4137772.367,2.620603
298412.340,4137772.467,2.606699
298412.168,4137772.570,2.605684
298411.994,4137772.669,2.650066
298411.815,4137772.760,2.686713
298411.634,4137772.846,2.706529
298411.452,4137772.930,2.709631
298411.271,4137773.015,2.696077
298411.091,4137773.103,2.679377
298410.910,4137773.189,2.726198
298410.725,4137773.265,2.770969
298410.537,4137773.335,2.796149
298410.348,4137773.402,2.801910
298410.160,4137773.470,2.788354
298409.973,4137773.542,2.768413
298409.785,4137773.610,2.821637
298409.593,4137773.669,2.867063
298409.399,4137773.720,2.892282
298409.205,4137773.769,2.897506
298409.011,4137773.818,2.882831
298408.818,4137773.872,2.878036
298408.623,4137773.917,2.939176
298408.426,4137773.953,2.979084
298408.228,4137773.984,2.997149
298408.029,4137774.013,2.993599
298407.832,4137774.044,2.968428
298407.634,4137774.077,3.005294
298407.435,4137774.098,3.063516
298407.235,4137774.110,3.096790
298407.035,4137774.118,3.105407
298406.835,4137774.126,3.089552
298406.635,4137774.140,3.070759
298406.435,4137774.147,3.141411
298406.234,4137774.142,-3.095219
298406.034,4137774.130,-3.073739
298405.835,4137774.116,-3.076998
298405.634,4137774.106,-3.105010
298405.434,4137774.096,-3.065194
298405.235,4137774.075,-3.008878
