x,y
298523.943,4137868.083
298523.664,4137867.751
298522.782,4137866.643
298521.665,4137865.239
298520.734,4137864.069
298519.511,4137862.533
298518.182,4137860.862
298516.565,4137858.831
298515.455,4137857.436
298514.875,4137856.707
298513.030,4137854.356
298511.704,4137852.666
298509.857,4137850.316
298508.542,4137848.643
298506.694,4137846.300
298505.361,4137844.611
298503.513,4137842.255
298502.195,4137840.573
298500.342,4137838.231
298499.014,4137836.544
298497.169,4137834.195
298495.845,4137832.511
298495.201,4137831.694
298493.992,4137830.161
298492.666,4137828.478
298490.822,4137826.135
298489.491,4137824.449
298487.645,4137822.099
298486.328,4137820.424
298484.480,4137818.075
298483.153,4137816.386
298481.305,4137814.037
298479.979,4137812.350
298478.135,4137810.002
298476.811,4137808.318
298474.963,4137805.968
298473.636,4137804.280
298471.786,4137801.929
298470.470,4137800.254
298468.624,4137797.909
298468.391,4137797.613
298467.300,4137796.229
298465.451,4137793.873
298464.122,4137792.181
298462.277,4137789.838
298460.946,4137788.148
298459.098,4137785.796
298457.776,4137784.113
298455.926,4137781.765
298454.605,4137780.087
298453.071,4137778.137
298451.187,4137775.740
298449.704,4137773.853
298448.530,4137772.361
298446.676,4137770.012
298444.822,4137767.663
298444.781,4137767.612
298442.967,4137765.315
298441.113,4137762.966
298439.259,4137760.618
298437.405,4137758.269
298435.551,4137755.921
298433.697,4137753.572
298431.842,4137751.224
298429.988,4137748.875
298428.134,4137746.527
298426.280,4137744.178
298424.816,4137742.323
