x,y,yaw
298299.716,4137627.290,-0.668521
298299.873,4137627.166,-0.668472
298300.030,4137627.042,-0.668428
298300.187,4137626.918,-0.668389
298300.344,4137626.794,-0.668354
298300.501,4137626.670,-0.668324
298300.658,4137626.546,-0.668299
298300.815,4137626.422,-0.668279
298300.972,4137626.298,-0.668264
298301.129,4137626.174,-0.668253
298301.286,4137626.050,-0.668247
298301.443,4137625.927,-0.668246
298301.600,4137625.803,-0.668250
298301.757,4137625.679,-0.668259
298301.914,4137625.555,-0.668272
298302.071,4137625.431,-0.668290
298302.228,4137625.307,-0.668313
298302.385,4137625.183,-0.668341
298302.542,4137625.059,-0.668374
298302.699,4137624.935,-0.668411
298302.856,4137624.811,-0.668453
298303.013,4137624.687,-0.668500
298303.170,4137624.563,-0.668552
298303.327,4137624.439,-0.668608
298303.484,4137624.315,-0.668670
298303.641,4137624.191,-0.668736
298303.798,4137624.067,-0.668807
298303.954,4137623.943,-0.668882
298304.111,4137623.819,-0.668963
298304.268,4137623.695,-0.669043
298304.425,4137623.571,-0.668452
298304.582,4137623.447,-0.667425
298304.739,4137623.323,-0.666577
298304.897,4137623.200,-0.665907
298305.054,4137623.076,-0.665415
298305.211,4137622.953,-0.665101
298305.369,4137622.829,-0.664966
298305.526,4137622.706,-0.665009
298305.684,4137622.582,-0.665230
298305.841,4137622.459,-0.665629
298305.998,4137622.335,-0.666207
298306.155,4137622.212,-0.666847
298306.313,4137622.088,-0.667339
298306.470,4137621.964,-0.667679
298306.627,4137621.840,-0.667867
298306.784,4137621.716,-0.667902
298306.941,4137621.592,-0.667838
298307.098,4137621.469,-0.667780
298307.255,4137621.345,-0.667729
298307.412,4137621.221,-0.667686
298307.569,4137621.097,-0.667650
298307.726,4137620.973,-0.667622
298307.883,4137620.849,-0.667601
298308.040,4137620.725,-0.667589
298308.197,4137620.602,-0.667583
298308.354,4137620.478,-0.667586
298308.512,4137620.354,-0.667595
298308.669,4137620.230,-0.667605
298308.826,4137620.106,-0.667614
298308.983,4137619.982,-0.667622
298309.140,4137619.859,-0.667629
298309.297,4137619.735,-0.667636
298309.454,4137619.611,-0.667642
298309.611,4137619.487,-0.667647
298309.768,4137619.363,-0.667652
298309.925,4137619.239,-0.667655
298310.082,4137619.116,-0.667658
298310.239,4137618.992,-0.667661
298310.396,4137618.868,-0.667662
298310.554,4137618.744,-0.667663
298310.711,4137618.620,-0.667663
298310.868,4137618.496,-0.667662
298311.025,4137618.373,-0.667661
298311.182,4137618.249,-0.667659
298311.339,4137618.125,-0.667657
298311.496,4137618.001,-0.667655
298311.653,4137617.877,-0.667652
298311.810,4137617.753,-0.667648
298311.967,4137617.629,-0.667644
298312.124,4137617.506,-0.667640
298312.281,4137617.382,-0.667635
298312.438,4137617.258,-0.667630
298312.595,4137617.134,-0.667625
298312.753,4137617.010,-0.667619
298312.910,4137616.886,-0.667612
298313.067,4137616.763,-0.667605
298313.224,4137616.639,-0.667598
298313.381,4137616.515,-0.667594
298313.538,4137616.391,-0.667591
298313.695,4137616.267,-0.667592
298313.852,4137616.143,-0.667594
298314.009,4137616.020,-0.667600
298314.166,4137615.896,-0.667607
298314.323,4137615.772,-0.667618
298314.480,4137615.648,-0.667630
298314.638,4137615.524,-0.667646
298314.795,4137615.400,-0.667663
298314.952,4137615.277,-0.667684
298315.109,4137615.153,-0.667706
298315.266,4137615.029,-0.667731
298315.423,4137614.905,-0.667759
298315.580,4137614.781,-0.667788
298315.737,4137614.657,-0.667814
298315.894,4137614.533,-0.667836
298316.051,4137614.409,-0.667853
298316.208,4137614.286,-0.667867
298316.365,4137614.162,-0.667877
298316.522,4137614.038,-0.667883
298316.679,4137613.914,-0.667885
298316.836,4137613.790,-0.667882
298316.993,4137613.666,-0.667876
298317.150,4137613.542,-0.667866
298317.307,4137613.418,-0.667852
298317.465,4137613.295,-0.667834
298317.622,4137613.171,-0.667811
298317.779,4137613.047,-0.667785
298317.936,4137612.923,-0.667756
298318.093,4137612.799,-0.667729
298318.250,4137612.675,-0.667705
298318.407,4137612.551,-0.667682
298318.564,4137612.428,-0.667662
298318.721,4137612.304,-0.667645
298318.878,4137612.180,-0.667630
298319.035,4137612.056,-0.667617
298319.192,4137611.932,-0.667606
298319.349,4137611.808,-0.667598
298319.506,4137611.685,-0.667592
298319.663,4137611.561,-0.667589
298319.821,4137611.437,-0.667587
298319.978,4137611.313,-0.667589
298320.135,4137611.189,-0.667592
298320.292,4137611.065,-0.667598
298320.449,4137610.942,-0.667603
298320.606,4137610.818,-0.667609
298320.763,4137610.694,-0.667615
298320.920,4137610.570,-0.667621
298321.077,4137610.446,-0.667627
298321.234,4137610.322,-0.667634
298321.391,4137610.198,-0.667640
298321.548,4137610.075,-0.667647
298321.706,4137609.951,-0.667654
298321.863,4137609.827,-0.667661
298322.020,4137609.703,-0.667668
298322.177,4137609.579,-0.667675
298322.334,4137609.455,-0.667682
298322.491,4137609.332,-0.667690
298322.648,4137609.208,-0.667696
298322.805,4137609.084,-0.667700
298322.962,4137608.960,-0.667702
298323.119,4137608.836,-0.667700
298323.276,4137608.712,-0.667695
298323.433,4137608.588,-0.667688
298323.590,4137608.465,-0.667677
298323.747,4137608.341,-0.667664
298323.905,4137608.217,-0.667648
298324.062,4137608.093,-0.667629
298324.219,4137607.969,-0.667607
298324.376,4137607.845,-0.667582
298324.533,4137607.722,-0.667554
298324.690,4137607.598,-0.667523
298324.847,4137607.474,-0.667490
298325.004,4137607.350,-0.667455
298325.161,4137607.226,-0.667425
298325.318,4137607.103,-0.667399
298325.475,4137606.979,-0.667378
298325.633,4137606.855,-0.667361
298325.790,4137606.731,-0.667348
298325.947,4137606.607,-0.667340
298326.104,4137606.484,-0.667336
298326.261,4137606.360,-0.667337
298326.418,4137606.236,-0.667342
298326.575,4137606.112,-0.667351
298326.732,4137605.988,-0.667365
298326.889,4137605.865,-0.667383
298327.047,4137605.741,-0.667405
298327.204,4137605.617,-0.667432
298327.361,4137605.493,-0.667462
298327.518,4137605.369,-0.667491
298327.675,4137605.245,-0.667520
298327.832,4137605.122,-0.667548
298327.989,4137604.998,-0.667575
298328.146,4137604.874,-0.667602
298328.303,4137604.750,-0.667628
298328.460,4137604.626,-0.667654
298328.617,4137604.502,-0.667679
298328.774,4137604.379,-0.667704
298328.932,4137604.255,-0.667728
298329.089,4137604.131,-0.667751
298329.246,4137604.007,-0.667774
298329.403,4137603.883,-0.667797
298329.560,4137603.759,-0.667818
298329.717,4137603.635,-0.667838
298329.874,4137603.512,-0.667855
298330.031,4137603.388,-0.667868
298330.188,4137603.264,-0.667877
298330.345,4137603.140,-0.667883
298330.502,4137603.016,-0.667885
298330.659,4137602.892,-0.667884
298330.816,4137602.768,-0.667879
298330.973,4137602.644,-0.667870
298331.130,4137602.521,-0.667858
298331.287,4137602.397,-0.667842
298331.444,4137602.273,-0.667822
298331.601,4137602.149,-0.667799
298331.758,4137602.025,-0.667773
298331.916,4137601.901,-0.667742
298332.073,4137601.777,-0.667712
298332.230,4137601.654,-0.667684
298332.387,4137601.530,-0.667661
298332.544,4137601.406,-0.667642
298332.701,4137601.282,-0.667627
298332.858,4137601.158,-0.667615
298333.015,4137601.034,-0.667607
298333.172,4137600.910,-0.667603
298333.329,4137600.787,-0.667603
298333.486,4137600.663,-0.667607
298333.643,4137600.539,-0.667615
298333.800,4137600.415,-0.667626
298333.958,4137600.291,-0.667641
298334.115,4137600.167,-0.667661
298334.272,4137600.044,-0.667684
298334.429,4137599.920,-0.667706
298334.586,4137599.796,-0.667722
298334.743,4137599.672,-0.667732
298334.900,4137599.548,-0.667736
298335.057,4137599.424,-0.667733
298335.214,4137599.300,-0.667724
298335.371,4137599.177,-0.667709
298335.528,4137599.053,-0.667688
298335.685,4137598.929,-0.667660
298335.842,4137598.805,-0.667626
298335.999,4137598.681,-0.667586
298336.156,4137598.557,-0.667540
298336.314,4137598.434,-0.667487
298336.471,4137598.310,-0.667428
298336.628,4137598.186,-0.667363
298336.785,4137598.062,-0.667292
298336.942,4137597.938,-0.667214
298337.099,4137597.815,-0.667130
298337.256,4137597.691,-0.667040
298337.413,4137597.567,-0.666944
298337.571,4137597.443,-0.666841
298337.728,4137597.320,-0.666732
298337.885,4137597.196,-0.666617
