x,y,yaw
298598.099,4137885.451,-2.015357
298597.575,4137884.351,-2.171500
298595.884,4137881.883,-2.172020
298595.528,4137881.364,-2.224146
298593.664,4137878.929,-2.239986
298591.814,4137876.590,-2.240869
298591.627,4137876.354,-2.235221
298589.788,4137874.006,-2.236482
298589.543,4137873.694,-2.241662
298587.689,4137871.358,-2.241318
298587.459,4137871.068,-2.238047
298585.614,4137868.726,-2.236766
298585.416,4137868.474,-2.238366
298583.569,4137866.131,-2.238788
298583.311,4137865.804,-2.233730
298581.455,4137863.427,-2.237576
298579.611,4137861.084,-2.236438
298579.505,4137860.949,-2.239218
298577.575,4137858.505,-2.237235
298575.726,4137856.154,-2.237494
298573.961,4137853.911,-2.240703
298572.296,4137851.809,-2.379080
298571.581,4137851.126,-2.502207
298570.840,4137850.575,-2.605502
298570.261,4137850.231,-2.709185
298569.364,4137849.817,-2.819842
298568.746,4137849.611,-2.901307
298567.742,4137849.365,-2.974199
298567.020,4137849.243,-3.057178
298565.980,4137849.155,3.132570
298565.315,4137849.161,3.068815
298564.300,4137849.235,3.007039
298563.613,4137849.328,2.905732
298562.656,4137849.558,2.794595
298562.067,4137849.771,2.726518
298561.300,4137850.109,2.642799
298560.540,4137850.523,2.643168
298559.704,4137850.978,2.513714
298558.212,4137852.061,2.468606
298556.472,4137853.448,2.468488
298555.875,4137853.924,2.468443
298554.187,4137855.270,2.476469
298551.836,4137857.114,2.476833
298550.740,4137857.973,2.476402
298549.492,4137858.952,2.476469
298547.141,4137860.796,2.476326
298545.066,4137862.424,2.476943
298544.798,4137862.634,2.476206
298542.447,4137864.479,2.476661
298540.104,4137866.316,2.476413
298537.752,4137868.161,2.476546
298536.459,4137869.175,2.476213
298535.409,4137869.999,2.475228
298533.064,4137871.843,2.476452
298532.744,4137872.094,2.474740
298530.395,4137873.943,2.475200
298528.101,4137875.747,2.475304
298525.748,4137877.597,2.473880
298525.242,4137877.996,2.477546
298525.173,4137878.050,2.478398
298522.892,4137879.832,2.479434
298522.706,4137879.977,2.473013
298520.359,4137881.831,2.473253
298518.425,4137883.358,2.474835
298516.073,4137885.209,2.474599
298514.695,4137886.294,2.477806
298513.864,4137886.944,2.478190
298512.312,4137888.157,2.554216
298510.837,4137889.139,2.597041
298509.275,4137890.085,2.727879
298507.585,4137890.827,2.836507
298505.775,4137891.397,2.900395
298504.031,4137891.826,3.044849
298502.135,4137892.010,3.124167
298500.184,4137892.044,-2.995655
298498.245,4137891.759,-2.942236
298496.775,4137891.462,-2.822741
298495.221,4137890.949,-2.753583
298493.457,4137890.228,-2.628446
298491.890,4137889.345,-2.551052
298490.619,4137888.493,-2.416739
298489.333,4137887.354,-2.336407
298487.649,4137885.602,-2.336346
298487.254,4137885.191,-2.336187
298486.299,4137884.197,-2.292521
298484.324,4137881.953,-2.292884
298482.396,4137879.764,-2.285139
298480.432,4137877.499,-2.284020
298479.938,4137876.928,-2.277905
298477.988,4137874.646,-2.276944
298477.420,4137873.980,-2.273171
298475.481,4137871.689,-2.273494
298474.878,4137870.977,-2.244599
298473.008,4137868.635,-2.244742
298472.028,4137867.408,-2.237028
298470.179,4137865.056,-2.236743
298468.654,4137863.115,-2.241060
298466.769,4137860.737,-2.237368
298464.925,4137858.393,-2.239270
298464.786,4137858.217,-2.236370
298462.945,4137855.872,-2.235955
298462.774,4137855.654,-2.238421
298460.926,4137853.310,-2.237741
298460.641,4137852.948,-2.231400
298458.804,4137850.584,-2.231444
298458.396,4137850.059,-2.238573
298456.549,4137847.717,-2.238102
298456.367,4137847.486,-2.241191
298454.514,4137845.149,-2.237780
298454.377,4137844.975,-2.235956
298452.536,4137842.628,-2.232738
298452.416,4137842.474,-2.237477
298450.511,4137840.053,-2.238310
298448.665,4137837.711,-2.239726
298448.465,4137837.458,-2.238118
298446.615,4137835.110,-2.238648
298446.264,4137834.665,-2.235301
298444.420,4137832.311,-2.236672
298444.050,4137831.840,-2.235663
298442.196,4137829.475,-2.221494
298440.378,4137827.087,-2.221202
298439.694,4137826.188,-2.187070
298437.970,4137823.754,-2.186468
298437.750,4137823.443,-2.190230
298436.013,4137821.007,-2.190403
298434.963,4137819.535,-2.186809
298433.235,4137817.094,-2.186862
298431.790,4137815.053,-2.184610
298430.063,4137812.602,-2.184518
298429.622,4137811.976,-2.233777
298427.783,4137809.621,-2.233958
298425.948,4137807.272,-2.233150
298425.413,4137806.586,-2.234034
298424.109,4137804.917,-2.233958
298422.274,4137802.568,-2.233777
298420.435,4137800.213,-2.233629
298419.862,4137799.479,-2.233723
298418.601,4137797.864,-2.234041
298416.761,4137795.509,-2.233694
298414.927,4137793.160,-2.234041
298413.087,4137790.805,-2.234724
298412.731,4137790.350,-2.233446
298411.253,4137788.456,-2.234041
298409.413,4137786.101,-2.233694
298407.579,4137783.752,-2.233777
298405.740,4137781.397,-2.233752
298403.905,4137779.047,-2.233777
298402.066,4137776.692,-2.233958
298400.231,4137774.343,-2.233777
298398.392,4137771.988,-2.233958
298396.557,4137769.639,-2.233172
298395.788,4137768.653,-2.233295
298394.713,4137767.275,-2.233578
298393.813,4137766.122,-2.237856
298391.964,4137763.774,-2.237886
298390.537,4137761.962,-2.233835
298388.697,4137759.606,-2.233958
298387.244,4137757.746,-2.235755
298385.392,4137755.384,-2.235219
298384.720,4137754.526,-2.235174
298382.871,4137752.165,-2.235106
298382.391,4137751.552,-2.245151
298380.626,4137749.344,-2.246544
298380.529,4137749.223,-2.247813
298380.357,4137749.009,-2.234888
298378.513,4137746.653,-2.234904
298376.784,4137744.444,-2.238699
298374.931,4137742.095,-2.238322
298373.189,4137739.885,-2.238699
298371.336,4137737.536,-2.238688
298369.599,4137735.334,-2.238230
298367.747,4137732.984,-2.237799
298365.999,4137730.764,-2.235884
298364.152,4137728.409,-2.235509
298362.442,4137726.227,-2.238023
298360.590,4137723.876,-2.238060
298358.871,4137721.694,-2.237816
298357.019,4137719.342,-2.237847
298355.348,4137717.220,-2.236409
298353.499,4137714.865,-2.236221
298351.843,4137712.755,-2.236615
298349.994,4137710.401,-2.236809
298348.391,4137708.361,-2.236353
298346.543,4137706.007,-2.236086
298344.962,4137703.992,-2.236878
298343.112,4137701.638,-2.236787
298341.513,4137699.603,-2.236353
298339.665,4137697.249,-2.236395
298338.072,4137695.220,-2.238755
298336.218,4137692.870,-2.239246
298334.618,4137690.844,-2.239638
298332.763,4137688.497,-2.239700
298331.220,4137686.545,-2.235301
298329.376,4137684.191,-2.235562
298327.908,4137682.318,-2.238548
298326.054,4137679.967,-2.238826
298324.382,4137677.848,-2.238548
298322.528,4137675.497,-2.238329
298320.905,4137673.438,-2.237347
298319.054,4137671.085,-2.236874
298317.461,4137669.058,-2.237498
298315.611,4137666.707,-2.237412
298314.054,4137664.728,-2.240523
298312.198,4137662.384,-2.240033
298310.737,4137660.537,-2.236916
298308.890,4137658.187,-2.236638
298307.535,4137656.462,-2.237687
298306.932,4137655.696,-2.238020
298305.685,4137654.113,-2.237547
298304.440,4137652.531,-2.235940
298302.592,4137650.175,-2.236015
298301.529,4137648.820,-2.228553
298299.702,4137646.455,-2.228338
298298.370,4137644.730,-2.237161
298296.526,4137642.385,-2.237869
298296.274,4137642.065,-2.248773
298295.608,4137641.238,-2.249511
298294.399,4137639.739,-2.248887
298292.527,4137637.415,-2.249039
298290.652,4137635.088,-2.248887
298288.780,4137632.764,-2.249039
298286.905,4137630.437,-2.248887
298285.033,4137628.113,-2.249039
298283.158,4137625.786,-2.249324
298282.925,4137625.497,-2.249065
298281.286,4137623.463,-2.239072
298279.430,4137621.112,-2.239486
