x,y,yaw
298598.099,4137885.451,-1.928320
298598.026,4137885.265,-1.959458
298597.948,4137885.081,-1.989018
298597.864,4137884.899,-2.016856
298597.775,4137884.720,-2.042861
298597.682,4137884.543,-2.066946
298597.585,4137884.368,-2.089049
298597.484,4137884.196,-2.109130
298597.380,4137884.025,-2.127166
298597.273,4137883.856,-2.143147
298597.163,4137883.688,-2.157073
298597.052,4137883.523,-2.168953
298596.938,4137883.358,-2.178797
298596.823,4137883.194,-2.186619
298596.707,4137883.031,-2.192430
298596.591,4137882.869,-2.196242
298596.473,4137882.707,-2.198062
298596.356,4137882.545,-2.197894
298596.239,4137882.383,-2.195739
298596.122,4137882.221,-2.191594
298596.006,4137882.058,-2.185450
298595.891,4137881.894,-2.177298
298595.778,4137881.729,-2.170639
298595.665,4137881.564,-2.169991
298595.552,4137881.399,-2.175385
298595.438,4137881.235,-2.184733
298595.322,4137881.072,-2.193530
298595.204,4137880.910,-2.201625
298595.086,4137880.749,-2.209014
298594.966,4137880.589,-2.215699
298594.845,4137880.429,-2.221680
298594.724,4137880.270,-2.226957
298594.602,4137880.112,-2.231532
298594.478,4137879.955,-2.235405
298594.355,4137879.797,-2.238577
298594.231,4137879.641,-2.241050
298594.106,4137879.484,-2.242824
298593.982,4137879.327,-2.243899
298593.857,4137879.171,-2.244275
298593.732,4137879.015,-2.243953
298593.608,4137878.858,-2.243016
298593.483,4137878.702,-2.242073
298593.359,4137878.545,-2.241248
298593.235,4137878.388,-2.240540
298593.111,4137878.232,-2.239951
298592.987,4137878.075,-2.239480
298592.863,4137877.918,-2.239127
298592.739,4137877.761,-2.238892
298592.615,4137877.604,-2.238775
298592.491,4137877.447,-2.238777
298592.367,4137877.290,-2.238897
298592.243,4137877.133,-2.239135
298592.119,4137876.976,-2.239491
298591.995,4137876.819,-2.239966
298591.871,4137876.662,-2.240559
298591.747,4137876.505,-2.241047
298591.623,4137876.349,-2.240285
298591.499,4137876.192,-2.238942
298591.375,4137876.035,-2.237748
298591.251,4137875.877,-2.236701
298591.128,4137875.720,-2.235803
298591.004,4137875.563,-2.235053
298590.881,4137875.405,-2.234451
298590.758,4137875.248,-2.233997
298590.635,4137875.090,-2.233691
298590.512,4137874.932,-2.233533
298590.389,4137874.775,-2.233523
298590.266,4137874.617,-2.233661
298590.143,4137874.459,-2.233947
298590.020,4137874.302,-2.234381
298589.896,4137874.144,-2.234964
298589.773,4137873.987,-2.235694
298589.650,4137873.830,-2.236580
298589.526,4137873.672,-2.237623
298589.402,4137873.515,-2.238657
298589.278,4137873.358,-2.239583
298589.154,4137873.201,-2.240399
298589.030,4137873.045,-2.241106
298588.906,4137872.888,-2.241704
298588.781,4137872.731,-2.242194
298588.657,4137872.575,-2.242574
298588.532,4137872.418,-2.242845
298588.408,4137872.262,-2.243007
298588.283,4137872.105,-2.243061
298588.159,4137871.949,-2.243005
298588.034,4137871.792,-2.242840
298587.910,4137871.636,-2.242566
298587.785,4137871.479,-2.242184
298587.661,4137871.323,-2.241694
298587.537,4137871.166,-2.241158
298587.412,4137871.009,-2.240605
298587.288,4137870.852,-2.240078
298587.164,4137870.696,-2.239590
298587.040,4137870.539,-2.239139
298586.916,4137870.382,-2.238727
298586.793,4137870.225,-2.238352
298586.669,4137870.068,-2.238016
298586.545,4137869.910,-2.237717
298586.421,4137869.753,-2.237456
298586.298,4137869.596,-2.237234
298586.174,4137869.439,-2.237049
298586.051,4137869.282,-2.236902
298585.927,4137869.124,-2.236794
298585.803,4137868.967,-2.236723
298585.680,4137868.810,-2.236690
298585.556,4137868.653,-2.236710
298585.433,4137868.495,-2.236879
298585.309,4137868.338,-2.237148
298585.186,4137868.181,-2.237401
298585.062,4137868.024,-2.237639
298584.938,4137867.867,-2.237860
298584.814,4137867.710,-2.238064
298584.691,4137867.552,-2.238252
298584.567,4137867.395,-2.238424
298584.443,4137867.238,-2.238579
298584.319,4137867.081,-2.238718
298584.195,4137866.924,-2.238840
298584.071,4137866.767,-2.238946
298583.947,4137866.610,-2.239035
298583.824,4137866.453,-2.239108
298583.700,4137866.296,-2.239165
298583.576,4137866.139,-2.239205
298583.452,4137865.982,-2.238957
298583.328,4137865.825,-2.238087
298583.204,4137865.668,-2.236880
298583.081,4137865.511,-2.235806
298582.957,4137865.354,-2.234874
298582.834,4137865.196,-2.234084
298582.711,4137865.038,-2.233434
298582.588,4137864.881,-2.232926
298582.465,4137864.723,-2.232559
298582.342,4137864.565,-2.232334
298582.219,4137864.407,-2.232249
298582.097,4137864.249,-2.232306
298581.974,4137864.092,-2.232505
298581.851,4137863.934,-2.232844
298581.728,4137863.776,-2.233325
298581.605,4137863.619,-2.233947
298581.482,4137863.461,-2.234710
298581.358,4137863.304,-2.235540
298581.235,4137863.146,-2.236274
298581.111,4137862.989,-2.236907
298580.988,4137862.832,-2.237437
298580.864,4137862.675,-2.237867
298580.740,4137862.517,-2.238195
298580.616,4137862.360,-2.238421
298580.493,4137862.203,-2.238546
298580.369,4137862.046,-2.238569
298580.245,4137861.889,-2.238491
298580.121,4137861.732,-2.238311
298579.997,4137861.575,-2.238030
298579.874,4137861.418,-2.237647
298579.750,4137861.261,-2.237162
298579.626,4137861.104,-2.236576
298579.503,4137860.946,-2.236617
298579.379,4137860.789,-2.237456
298579.256,4137860.632,-2.238188
298579.132,4137860.475,-2.238812
298579.008,4137860.318,-2.239329
298578.884,4137860.161,-2.239738
298578.760,4137860.004,-2.240039
298578.636,4137859.847,-2.240232
298578.512,4137859.691,-2.240317
298578.387,4137859.534,-2.240295
298578.263,4137859.377,-2.240165
298578.139,4137859.220,-2.239927
298578.015,4137859.063,-2.239581
298577.891,4137858.906,-2.239128
298577.767,4137858.749,-2.238567
298577.644,4137858.592,-2.237898
298577.520,4137858.435,-2.237148
298577.396,4137858.278,-2.236508
298577.273,4137858.120,-2.236018
298577.149,4137857.963,-2.235678
298577.026,4137857.806,-2.235489
298576.903,4137857.648,-2.235450
298576.779,4137857.491,-2.235561
298576.656,4137857.333,-2.235823
298576.533,4137857.176,-2.236235
298576.409,4137857.019,-2.236797
298576.285,4137856.862,-2.237510
298576.162,4137856.704,-2.238373
298576.038,4137856.547,-2.239386
298575.914,4137856.391,-2.240550
298575.789,4137856.234,-2.241865
298575.665,4137856.077,-2.243257
298575.540,4137855.921,-2.244270
298575.416,4137855.765,-2.244824
298575.291,4137855.608,-2.244919
298575.166,4137855.452,-2.244556
298575.041,4137855.296,-2.243733
298574.917,4137855.139,-2.242451
298574.792,4137854.983,-2.240711
298574.668,4137854.826,-2.238513
298574.545,4137854.669,-2.235858
298574.421,4137854.511,-2.232746
298574.299,4137854.353,-2.229177
298574.177,4137854.195,-2.225154
298574.055,4137854.036,-2.220678
298573.935,4137853.876,-2.215805
298573.815,4137853.716,-2.212132
298573.695,4137853.556,-2.210380
298573.576,4137853.395,-2.210547
298573.456,4137853.235,-2.212633
298573.336,4137853.075,-2.216641
298573.216,4137852.916,-2.222576
298573.094,4137852.757,-2.230444
298572.970,4137852.600,-2.240253
298572.845,4137852.444,-2.252010
298572.718,4137852.289,-2.265719
298572.589,4137852.136,-2.281377
298572.457,4137851.986,-2.298977
298572.323,4137851.838,-2.318501
298572.185,4137851.693,-2.339693
298572.045,4137851.551,-2.362093
298571.901,4137851.412,-2.385717
298571.754,4137851.276,-2.410595
298571.603,4137851.145,-2.436751
298571.449,4137851.017,-2.463638
298571.292,4137850.894,-2.490314
298571.131,4137850.775,-2.516787
298570.967,4137850.660,-2.543083
298570.801,4137850.549,-2.569208
298570.631,4137850.443,-2.594711
298570.459,4137850.341,-2.619386
298570.284,4137850.244,-2.643228
298570.108,4137850.150,-2.667017
298569.929,4137850.061,-2.692053
298569.747,4137849.976,-2.718398
298569.564,4137849.897,-2.746085
298569.378,4137849.822,-2.775143
298569.191,4137849.754,-2.803497
298569.001,4137849.690,-2.828343
298568.810,4137849.630,-2.849675
298568.618,4137849.574,-2.868169
298568.425,4137849.522,-2.885970
298568.231,4137849.473,-2.903247
298568.036,4137849.428,-2.920006
298567.841,4137849.385,-2.936253
298567.645,4137849.346,-2.952119
298567.448,4137849.310,-2.968355
298567.251,4137849.277,-2.985085
298567.053,4137849.248,-3.002305
298566.855,4137849.222,-3.020302
298566.656,4137849.199,-3.039631
298566.457,4137849.181,-3.060327
298566.257,4137849.167,-3.082410
298566.058,4137849.157,-3.105896
298565.858,4137849.153,-3.129930
298565.658,4137849.153,3.132090
298565.458,4137849.156,3.114141
298565.258,4137849.163,3.099278
298565.058,4137849.173,3.085458
298564.859,4137849.186,3.071942
298564.659,4137849.201,3.058729
298564.460,4137849.219,3.045818
298564.261,4137849.239,3.033134
298564.062,4137849.262,3.018212
298563.864,4137849.289,2.999840
298563.666,4137849.319,2.978028
298563.470,4137849.354,2.953353
298563.274,4137849.394,2.927246
298563.079,4137849.439,2.899727
298562.885,4137849.490,2.870744
298562.693,4137849.546,2.840252
298562.503,4137849.608,2.810677
298562.315,4137849.676,2.787044
298562.128,4137849.747,2.769510
298561.942,4137849.821,2.755743
298561.758,4137849.898,2.738324
298561.575,4137849.978,2.716660
298561.393,4137850.063,2.690713
298561.215,4137850.153,2.662168
298561.038,4137850.247,2.642170
298560.863,4137850.344,2.632739
298560.689,4137850.441,2.633841
298560.513,4137850.537,2.645224
298560.337,4137850.632,2.654260
298560.160,4137850.725,2.653718
298559.984,4137850.820,2.643575
298559.809,4137850.917,2.623772
