x,y,yaw,kappa,mode
-68.843,-10.611,-2.237148,0.000000,2
-68.967,-10.769,-2.237148,0.000000,2
-69.090,-10.926,-2.237148,0.000000,2
-69.214,-11.083,-2.237148,0.000000,2
-69.337,-11.240,-2.237148,0.000000,2
-69.461,-11.397,-2.237148,0.000000,2
-69.584,-11.554,-2.237148,0.000000,2
-69.708,-11.711,-2.237148,0.000000,2
-69.832,-11.868,-2.237148,0.000000,2
-69.955,-12.026,-2.237148,0.000000,2
-70.079,-12.183,-2.237148,0.000000,2
-70.202,-12.340,-2.237148,0.000000,2
-70.326,-12.497,-2.237148,0.000000,2
-70.449,-12.654,-2.237148,0.000000,2
-70.573,-12.811,-2.237148,0.000000,2
-70.696,-12.968,-2.237148,0.000000,2
-70.820,-13.126,-2.237148,0.000000,2
-70.944,-13.283,-2.237148,0.000000,2
-71.067,-13.440,-2.237148,0.000000,2
-71.191,-13.597,-2.237148,0.000000,2
-71.314,-13.754,-2.237148,0.000000,2
-71.438,-13.911,-2.237148,0.000000,2
-71.561,-14.068,-2.237148,0.000000,2
-71.685,-14.225,-2.237148,0.000000,2
-71.808,-14.383,-2.237148,0.000000,2
-71.932,-14.540,-2.237148,0.000000,2
-72.056,-14.697,-2.237148,0.000000,2
-72.179,-14.854,-2.237148,0.000000,2
-72.303,-15.011,-2.237148,0.000000,2
-72.426,-15.168,-2.237148,0.000000,2
-72.550,-15.325,-2.237148,0.000000,2
-72.673,-15.482,-2.237148,0.000000,2
-72.797,-15.640,-2.237148,0.000000,2
-72.920,-15.797,-2.237148,0.000000,2
-73.044,-15.954,-2.237148,0.000000,2
-73.168,-16.111,-2.237148,0.000000,2
-73.291,-16.268,-2.237148,0.000000,2
-73.415,-16.425,-2.237148,0.000000,2
-73.538,-16.582,-2.237148,0.009880,2
-73.662,-16.739,-2.233201,0.000934,2
-73.785,-16.897,-2.236774,-0.027750,2
-73.908,-17.054,-2.244292,-0.040145,2
-74.033,-17.211,-2.252837,-0.039462,2
-74.159,-17.366,-2.260094,-0.028663,2
-74.286,-17.520,-2.264284,-0.010041,2
-74.414,-17.674,-2.264109,0.013994,2
-74.542,-17.827,-2.258690,0.041526,2
-74.669,-17.982,-2.247504,0.039866,2
-74.794,-18.138,-2.242732,0.020302,2
-74.918,-18.294,-2.239400,0.012889,2
-75.042,-18.451,-2.237585,0.005641,2
-75.166,-18.608,-2.237143,-0.000458,2
-75.289,-18.765,-2.237768,-0.004806,2
-75.413,-18.922,-2.239063,-0.007115,2
-75.537,-19.079,-2.240615,-0.007498,2
-75.661,-19.236,-2.242063,-0.006391,2
-75.785,-19.393,-2.243172,-0.004605,2
-75.910,-19.549,-2.243905,-0.002964,2
-76.034,-19.705,-2.244355,-0.001510,2
-76.159,-19.862,-2.244509,-0.000115,2
-76.284,-20.018,-2.244401,0.001026,2
-76.409,-20.174,-2.244099,0.001776,2
-76.533,-20.330,-2.243692,0.002068,2
-76.658,-20.487,-2.243272,0.001933,2
-76.782,-20.643,-2.242919,0.001471,2
-76.907,-20.799,-2.242685,0.000835,2
-77.031,-20.956,-2.242585,0.000230,2
-77.156,-21.112,-2.242593,-0.000258,2
-77.280,-21.269,-2.242688,-0.000618,2
-77.405,-21.425,-2.242840,-0.000810,2
-77.529,-21.582,-2.243012,-0.000828,2
-77.654,-21.738,-2.243171,-0.000703,2
-77.778,-21.895,-2.243293,-0.000485,2
-77.903,-22.051,-2.243365,-0.000256,2
-78.027,-22.207,-2.243395,-0.000050,2
-78.152,-22.364,-2.243385,0.000160,2
-78.276,-22.520,-2.243331,0.000373,2
-78.401,-22.677,-2.243236,0.000550,2
-78.525,-22.833,-2.243111,0.000661,2
-78.650,-22.989,-2.242972,0.000688,2
-78.774,-23.146,-2.242836,0.000635,2
-78.899,-23.302,-2.242718,0.000518,2
-79.023,-23.459,-2.242629,0.000363,2
-79.148,-23.615,-2.242573,0.000205,2
-79.272,-23.772,-2.242547,0.000058,2
-79.396,-23.928,-2.242550,-0.000088,2
-79.521,-24.085,-2.242582,-0.000240,2
-79.645,-24.241,-2.242646,-0.000391,2
-79.770,-24.397,-2.242738,-0.000505,2
-79.894,-24.554,-2.242848,-0.000568,2
-80.019,-24.710,-2.242965,-0.000570,2
-80.143,-24.867,-2.243076,-0.000518,2
-80.268,-25.023,-2.243172,-0.000423,2
-80.392,-25.180,-2.243245,-0.000308,2
-80.517,-25.336,-2.243295,-0.000200,2
-80.641,-25.492,-2.243325,-0.000098,2
-80.766,-25.649,-2.243334,0.000005,2
-80.890,-25.805,-2.243323,0.000105,2
-81.015,-25.962,-2.243292,0.000210,2
-81.139,-26.118,-2.243239,0.000326,2
-81.264,-26.274,-2.243162,0.000435,2
-81.388,-26.431,-2.243065,0.000500,2
-81.513,-26.587,-2.242962,0.000500,2
-81.637,-26.744,-2.242865,0.000430,2
-81.762,-26.900,-2.242790,0.000291,2
-81.886,-27.056,-2.242749,0.000098,2
-82.011,-27.213,-2.242751,-0.000120,2
-82.135,-27.369,-2.242797,-0.000360,2
-82.260,-27.526,-2.242895,-0.000648,2
-82.384,-27.682,-2.243056,-0.000873,2
-82.509,-27.839,-2.243244,-0.000848,2
-82.633,-27.995,-2.243395,-0.000448,2
-82.758,-28.151,-2.243423,0.000433,2
-82.882,-28.308,-2.243222,0.001735,2
-83.007,-28.464,-2.242729,0.003170,2
-83.131,-28.621,-2.241954,0.004363,2
-83.256,-28.777,-2.240984,0.005045,2
-83.380,-28.934,-2.239936,0.005191,2
-83.504,-29.091,-2.238907,0.004913,2
-83.628,-29.248,-2.237970,0.004373,2
-83.751,-29.405,-2.237160,0.003775,2
-83.875,-29.562,-2.236462,0.003249,2
-83.998,-29.719,-2.235862,0.002751,2
-84.122,-29.876,-2.235363,0.002246,2
-84.245,-30.034,-2.234963,0.001751,2
-84.368,-30.191,-2.234663,0.001254,2
-84.491,-30.349,-2.234462,0.000752,2
-84.615,-30.506,-2.234362,0.000232,2
-84.738,-30.664,-2.234369,-0.000298,2
-84.861,-30.821,-2.234481,-0.000778,2
-84.984,-30.979,-2.234680,-0.001143,2
-85.107,-31.136,-2.234938,-0.001364,2
-85.230,-31.293,-2.235224,-0.001424,2
-85.354,-31.451,-2.235508,-0.001362,2
-85.477,-31.608,-2.235769,-0.001221,2
-85.600,-31.765,-2.235995,-0.001057,2
-85.724,-31.923,-2.236192,-0.000922,2
-85.847,-32.080,-2.236364,-0.000793,2
-85.971,-32.237,-2.236509,-0.000661,2
-86.094,-32.394,-2.236628,-0.000530,2
-86.217,-32.552,-2.236721,-0.000407,2
-86.341,-32.709,-2.236791,-0.000305,2
-86.465,-32.866,-2.236843,-0.000228,2
-86.588,-33.023,-2.236882,-0.000170,2
-86.712,-33.180,-2.236911,-0.000132,2
-86.835,-33.338,-2.236935,-0.000107,2
-86.959,-33.495,-2.236954,-0.000080,2
-87.082,-33.652,-2.236967,-0.000050,2
-87.206,-33.809,-2.236974,-0.000018,2
-87.329,-33.966,-2.236974,0.000015,2
-87.453,-34.124,-2.236968,0.000045,2
-87.576,-34.281,-2.236956,0.000075,2
-87.700,-34.438,-2.236938,0.000108,2
-87.823,-34.595,-2.236913,0.000148,2
-87.947,-34.752,-2.236879,0.000185,2
-88.070,-34.909,-2.236839,0.000202,2
-88.194,-35.067,-2.236798,0.000192,2
-88.318,-35.224,-2.236762,0.000150,2
-88.441,-35.381,-2.236738,0.000073,2
-88.565,-35.538,-2.236733,-0.000035,2
-88.688,-35.695,-2.236752,-0.000157,2
-88.812,-35.853,-2.236796,-0.000275,2
-88.935,-36.010,-2.236862,-0.000390,2
-89.059,-36.167,-2.236952,-0.000508,2
-89.182,-36.324,-2.237065,-0.000631,2
-89.306,-36.481,-2.237204,-0.000746,2
-89.429,-36.638,-2.237363,-0.000834,2
-89.553,-36.796,-2.237538,-0.000888,2
