x,y,yaw,kappa,mode
0.000,0.000,-1.928320,-0.155846,0
-0.073,-0.186,-1.959460,-0.151876,0
-0.151,-0.370,-1.989019,-0.143390,0
-0.235,-0.552,-2.016859,-0.134496,0
-0.324,-0.731,-2.042865,-0.125277,0
-0.417,-0.908,-2.066951,-0.115466,0
-0.514,-1.083,-2.089055,-0.105355,0
-0.615,-1.256,-2.109136,-0.095385,0
-0.719,-1.426,-2.127172,-0.085189,0
-0.826,-1.595,-2.143153,-0.074612,0
-0.936,-1.763,-2.157079,-0.064434,0
-1.047,-1.929,-2.168959,-0.054386,0
-1.161,-2.093,-2.178802,-0.044156,0
-1.276,-2.257,-2.186623,-0.034046,0
-1.392,-2.420,-2.192433,-0.024059,0
-1.509,-2.582,-2.196244,-0.014084,0
-1.626,-2.744,-2.198062,-0.004126,0
-1.743,-2.906,-2.197893,0.005817,0
-1.860,-3.068,-2.195737,0.015741,0
-1.977,-3.231,-2.191589,0.025690,0
-2.093,-3.394,-2.185443,0.035791,0
-2.208,-3.557,-2.177289,0.037069,0
-2.321,-3.722,-2.170635,0.018241,0
-2.434,-3.887,-2.169993,-0.011898,0
-2.547,-4.052,-2.175394,-0.036901,0
-2.661,-4.216,-2.184743,-0.045391,0
-2.777,-4.379,-2.193541,-0.042177,0
-2.895,-4.541,-2.201634,-0.038704,0
-3.013,-4.702,-2.209024,-0.035149,0
-3.133,-4.863,-2.215708,-0.031612,0
-3.254,-5.022,-2.221688,-0.028170,0
-3.375,-5.181,-2.226965,-0.024623,0
-3.498,-5.339,-2.231538,-0.021088,0
-3.621,-5.497,-2.235410,-0.017624,0
-3.744,-5.654,-2.238582,-0.014125,0
-3.868,-5.811,-2.241053,-0.010611,0
-3.993,-5.967,-2.242826,-0.007118,0
-4.117,-6.124,-2.243900,-0.003623,0
-4.242,-6.280,-2.244275,-0.000130,0
-4.367,-6.436,-2.243952,0.003153,0
-4.491,-6.593,-2.243014,0.004703,0
-4.616,-6.749,-2.242071,0.004420,0
-4.740,-6.906,-2.241246,0.003829,0
-4.864,-7.063,-2.240539,0.003234,0
-4.989,-7.220,-2.239950,0.002645,0
-5.113,-7.377,-2.239479,0.002059,0
-5.237,-7.534,-2.239126,0.001472,0
-5.360,-7.691,-2.238891,0.000879,0
-5.484,-7.848,-2.238775,0.000285,0
-5.608,-8.005,-2.238777,-0.000305,0
-5.732,-8.162,-2.238897,-0.000897,0
-5.856,-8.319,-2.239136,-0.001487,0
-5.980,-8.476,-2.239492,-0.002081,0
-6.104,-8.632,-2.239967,-0.002677,0
-6.228,-8.789,-2.240561,-0.002699,0
-6.352,-8.946,-2.241047,0.000699,0
-6.477,-9.103,-2.240281,0.005260,0
-6.601,-9.260,-2.238939,0.006348,0
-6.724,-9.417,-2.237745,0.005607,0
-6.848,-9.574,-2.236699,0.004858,0
-6.972,-9.731,-2.235801,0.004117,0
-7.095,-9.889,-2.235051,0.003383,0
-7.218,-10.046,-2.234449,0.002640,0
-7.341,-10.204,-2.233996,0.001899,0
-7.464,-10.361,-2.233690,0.001161,0
-7.587,-10.519,-2.233532,0.000417,0
-7.710,-10.677,-2.233523,-0.000325,0
-7.834,-10.834,-2.233662,-0.001062,0
-7.957,-10.992,-2.233948,-0.001800,0
-8.080,-11.150,-2.234383,-0.002547,0
-8.203,-11.307,-2.234966,-0.003288,0
-8.326,-11.465,-2.235697,-0.004040,0
-8.450,-11.622,-2.236583,-0.004831,0
-8.573,-11.779,-2.237627,-0.005201,0
-8.697,-11.936,-2.238661,-0.004896,0
-8.821,-12.093,-2.239586,-0.004351,0
-8.945,-12.250,-2.240402,-0.003804,0
-9.069,-12.407,-2.241108,-0.003254,0
-9.194,-12.564,-2.241706,-0.002718,0
-9.318,-12.720,-2.242195,-0.002173,0
-9.443,-12.877,-2.242575,-0.001628,0
-9.567,-13.033,-2.242846,-0.001083,0
-9.692,-13.190,-2.243008,-0.000538,0
-9.816,-13.346,-2.243061,0.000010,0
-9.941,-13.503,-2.243004,0.000555,0
-10.065,-13.659,-2.242839,0.001098,0
-10.190,-13.816,-2.242565,0.001643,0
-10.314,-13.972,-2.242182,0.002183,0
-10.439,-14.129,-2.241692,0.002563,0
-10.563,-14.286,-2.241155,0.002729,0
-10.687,-14.442,-2.240602,0.002702,0
