x,y,yaw,kappa,mode
0.000,0.000,-2.186955,0.001250,0
-0.116,-0.163,-2.186705,0.001146,0
-0.231,-0.327,-2.186496,0.000939,0
-0.347,-0.490,-2.186329,0.000731,0
-0.462,-0.653,-2.186204,0.000520,0
-0.578,-0.817,-2.186121,0.000307,0
-0.693,-0.980,-2.186081,0.000098,0
-0.809,-1.143,-2.186082,-0.000110,0
-0.924,-1.307,-2.186125,-0.000320,0
-1.040,-1.470,-2.186210,-0.000528,0
-1.155,-1.633,-2.186336,-0.000657,0
-1.270,-1.796,-2.186472,-0.000647,0
-1.386,-1.960,-2.186595,-0.000576,0
-1.502,-2.123,-2.186703,-0.000506,0
-1.617,-2.286,-2.186797,-0.000435,0
-1.733,-2.449,-2.186877,-0.000365,0
-1.848,-2.613,-2.186943,-0.000297,0
-1.964,-2.776,-2.186996,-0.000228,0
-2.079,-2.939,-2.187034,-0.000155,0
-2.195,-3.102,-2.187058,-0.000087,0
-2.311,-3.265,-2.187069,-0.000017,0
-2.426,-3.429,-2.187065,0.000052,0
-2.542,-3.592,-2.187048,0.000140,0
-2.657,-3.755,-2.187009,0.000333,0
-2.773,-3.918,-2.186915,0.000618,0
-2.888,-4.081,-2.186762,0.000909,0
-3.004,-4.245,-2.186551,0.001201,0
-3.119,-4.408,-2.186281,0.001499,0
-3.235,-4.571,-2.185952,0.001788,0
-3.350,-4.735,-2.185565,0.002081,0
-3.466,-4.898,-2.185119,0.002380,0
-3.581,-5.061,-2.184614,0.002674,0
-3.696,-5.225,-2.184050,0.002961,0
-3.811,-5.389,-2.183428,0.003257,0
-3.926,-5.552,-2.182748,0.003552,0
-4.041,-5.716,-2.182008,0.003845,0
-4.155,-5.880,-2.181210,0.004137,0
-4.270,-6.044,-2.180353,0.003287,0
-4.384,-6.208,-2.179895,-0.003575,0
-4.499,-6.372,-2.181783,-0.015873,0
-4.614,-6.535,-2.186241,-0.028748,0
-4.730,-6.698,-2.193269,-0.039173,0
-4.847,-6.860,-2.201906,-0.041524,0
-4.966,-7.021,-2.209880,-0.037951,0
-5.086,-7.181,-2.217094,-0.034184,0
-5.207,-7.340,-2.223547,-0.030346,0
-5.329,-7.499,-2.229239,-0.026515,0
-5.452,-7.657,-2.234170,-0.022773,0
-5.575,-7.814,-2.238341,-0.018976,0
-5.699,-7.971,-2.241751,-0.015127,0
-5.824,-8.128,-2.244403,-0.011346,0
-5.949,-8.284,-2.246296,-0.007571,0
-6.074,-8.440,-2.247430,-0.003779,0
-6.199,-8.596,-2.247807,0.000010,0
-6.324,-8.751,-2.247426,0.003807,0
-6.449,-8.907,-2.246288,0.007576,0
-6.574,-9.064,-2.244391,0.010550,0
-6.699,-9.220,-2.242062,0.011148,0
-6.823,-9.377,-2.239932,0.010107,0
-6.947,-9.534,-2.238018,0.009030,0
-7.071,-9.691,-2.236319,0.007967,0
-7.194,-9.848,-2.234835,0.006886,0
-7.317,-10.006,-2.233567,0.005793,0
-7.440,-10.164,-2.232515,0.004715,0
-7.563,-10.322,-2.231679,0.003636,0
-7.686,-10.480,-2.231059,0.002569,0
-7.808,-10.637,-2.230654,0.001483,0
-7.931,-10.796,-2.230466,0.000402,0
-8.053,-10.954,-2.230493,-0.000675,0
-8.176,-11.112,-2.230736,-0.001755,0
-8.299,-11.270,-2.231196,-0.002844,0
-8.421,-11.427,-2.231871,-0.003521,0
-8.544,-11.585,-2.232601,-0.003229,0
-8.667,-11.743,-2.233164,-0.002390,0
-8.790,-11.901,-2.233558,-0.001551,0
-8.913,-12.058,-2.233784,-0.000773,0
-9.036,-12.216,-2.233867,-0.000354,0
-9.160,-12.374,-2.233926,-0.000275,0
-9.283,-12.531,-2.233977,-0.000235,0
-9.406,-12.689,-2.234020,-0.000193,0
-9.529,-12.846,-2.234054,-0.000150,0
-9.652,-13.004,-2.234080,-0.000108,0
-9.775,-13.161,-2.234097,-0.000065,0
-9.898,-13.319,-2.234106,-0.000022,0
-10.021,-13.477,-2.234106,0.000020,0
-10.145,-13.634,-2.234098,0.000060,0
-10.268,-13.792,-2.234082,0.000093,0
-10.391,-13.949,-2.234061,0.000100,0
-10.514,-14.107,-2.234042,0.000095,0
-10.637,-14.265,-2.234023,0.000093,0
-10.760,-14.422,-2.234005,0.000088,0
-10.883,-14.580,-2.233988,0.000082,0
-11.007,-14.737,-2.233972,0.000077,0
-11.130,-14.895,-2.233957,0.000072,0
-11.253,-15.053,-2.233943,0.000070,0
-11.376,-15.210,-2.233929,0.000068,0
-11.499,-15.368,-2.233916,0.000060,0
-11.622,-15.525,-2.233905,0.000055,0
-11.745,-15.683,-2.233894,0.000052,0
-11.868,-15.841,-2.233884,0.000050,0
-11.991,-15.998,-2.233874,0.000045,0
-12.114,-16.156,-2.233866,0.000040,0
-12.238,-16.313,-2.233858,0.000045,0
-12.361,-16.471,-2.233848,0.000050,0
-12.484,-16.629,-2.233838,0.000053,0
-12.607,-16.786,-2.233827,0.000055,0
-12.730,-16.944,-2.233816,0.000060,0
-12.853,-17.102,-2.233803,0.000065,0
-12.976,-17.259,-2.233790,0.000068,0
-13.099,-17.417,-2.233776,0.000073,0
-13.222,-17.574,-2.233761,0.000078,0
-13.345,-17.732,-2.233745,0.000080,0
-13.469,-17.890,-2.233729,0.000085,0
-13.592,-18.047,-2.233711,0.000090,0
-13.715,-18.205,-2.233693,0.000092,0
-13.838,-18.363,-2.233674,0.000098,0
-13.961,-18.520,-2.233654,0.000090,0
-14.084,-18.678,-2.233638,0.000070,0
-14.207,-18.836,-2.233626,0.000045,0
-14.330,-18.993,-2.233620,0.000020,0
-14.453,-19.151,-2.233618,-0.000005,0
-14.576,-19.308,-2.233622,-0.000033,0
-14.699,-19.466,-2.233631,-0.000055,0
-14.822,-19.624,-2.233644,-0.000078,0
