x,y,yaw,kappa,mode
-30.337,-39.489,-0.664561,0.000000,2
-30.180,-39.612,-0.664561,0.000000,2
-30.023,-39.735,-0.664561,0.000000,2
-29.866,-39.858,-0.664561,0.000000,2
-29.709,-39.981,-0.664561,0.000000,2
-29.552,-40.105,-0.664561,0.000000,2
-29.395,-40.228,-0.664561,0.000000,2
-29.238,-40.351,-0.664561,0.000000,2
-29.080,-40.474,-0.664561,0.000000,2
-28.923,-40.597,-0.664561,0.000000,2
-28.766,-40.720,-0.664561,0.000000,2
-28.609,-40.843,-0.664561,0.000000,2
-28.452,-40.966,-0.664561,0.000000,2
-28.295,-41.089,-0.664561,0.000000,2
-28.138,-41.212,-0.664561,0.000000,2
-27.981,-41.335,-0.664561,0.000000,2
-27.824,-41.458,-0.664561,0.000000,2
-27.667,-41.581,-0.664561,0.000000,2
-27.510,-41.704,-0.664561,0.000000,2
-27.353,-41.827,-0.664561,0.000000,2
-27.196,-41.950,-0.664561,0.000000,2
-27.039,-42.073,-0.664561,0.000000,2
-26.881,-42.197,-0.664561,0.000000,2
-26.724,-42.320,-0.664561,0.000000,2
-26.567,-42.443,-0.664561,0.000000,2
-26.410,-42.566,-0.664561,0.000000,2
-26.253,-42.689,-0.664561,0.000000,2
-26.096,-42.812,-0.664561,0.000000,2
-25.939,-42.935,-0.664561,0.000000,2
-25.782,-43.058,-0.664561,0.000000,2
-25.625,-43.181,-0.664561,0.000000,2
-25.468,-43.304,-0.664561,0.000000,2
-25.311,-43.427,-0.664561,0.000000,2
-25.154,-43.550,-0.664561,0.000000,2
-24.997,-43.673,-0.664561,0.000000,2
-24.839,-43.796,-0.664561,0.000000,2
-24.682,-43.919,-0.664561,0.000000,2
-24.525,-44.042,-0.664561,0.000000,2
-24.368,-44.165,-0.664561,0.000000,2
-24.211,-44.289,-0.664561,0.000000,2
-24.054,-44.412,-0.664561,0.000000,2
-23.897,-44.535,-0.664561,0.000000,2
-23.740,-44.658,-0.664561,0.000000,2
-23.583,-44.781,-0.664561,0.000000,2
-23.426,-44.904,-0.664561,0.000000,2
-23.269,-45.027,-0.664561,0.000000,2
-23.112,-45.150,-0.664561,0.000000,2
-22.955,-45.273,-0.664561,0.000000,2
-22.797,-45.396,-0.664561,0.000000,2
-22.640,-45.519,-0.664561,0.000000,2
-22.483,-45.642,-0.664561,0.000000,2
-22.326,-45.765,-0.664561,0.000000,2
-22.169,-45.888,-0.664561,0.000000,2
-22.012,-46.011,-0.664561,0.000000,2
-21.855,-46.134,-0.664561,0.000000,2
-21.698,-46.257,-0.664561,0.000000,2
-21.541,-46.381,-0.664561,0.000000,2
-21.384,-46.504,-0.664561,0.000000,2
-21.227,-46.627,-0.664561,0.000000,2
-21.070,-46.750,-0.664561,0.000000,2
-20.913,-46.873,-0.664561,0.000000,2
-20.756,-46.996,-0.664561,0.000000,2
-20.598,-47.119,-0.664561,0.000000,2
-20.441,-47.242,-0.664561,0.000000,2
-20.284,-47.365,-0.664561,0.000000,2
-20.127,-47.488,-0.664561,0.000000,2
-19.970,-47.611,-0.664561,0.000000,2
-19.813,-47.734,-0.664561,0.000000,2
-19.656,-47.857,-0.664561,0.000000,2
-19.499,-47.980,-0.664561,0.000000,2
