x,y,yaw,kappa,mode
15.072,-75.078,2.467075,0.003677,3
14.915,-74.953,2.467813,0.003630,3
14.760,-74.829,2.468524,0.003503,3
14.603,-74.705,2.469209,0.003363,3
14.447,-74.581,2.469867,0.003229,3
14.291,-74.456,2.470498,0.003090,3
14.134,-74.332,2.471103,0.002962,3
13.978,-74.208,2.471681,0.002834,3
13.821,-74.085,2.472233,0.002696,3
13.664,-73.961,2.472758,0.002559,3
13.507,-73.837,2.473257,0.002435,3
13.351,-73.714,2.473729,0.002302,3
13.194,-73.590,2.474175,0.002162,3
13.037,-73.466,2.474594,0.002030,3
12.880,-73.343,2.474986,0.001897,3
12.723,-73.219,2.475352,0.001765,3
12.566,-73.096,2.475691,0.001632,3
12.409,-72.973,2.476003,0.001497,3
12.252,-72.849,2.476289,0.001367,3
12.095,-72.726,2.476549,0.001236,3
11.938,-72.603,2.476782,0.001101,3
11.781,-72.480,2.476988,0.000968,3
11.624,-72.357,2.477168,0.000833,3
11.466,-72.234,2.477321,0.000698,3
11.309,-72.111,2.477447,0.000566,3
11.152,-71.987,2.477547,0.000436,3
10.995,-71.864,2.477621,0.000303,3
10.837,-71.741,2.477668,0.000165,3
10.680,-71.618,2.477687,0.000023,3
10.523,-71.495,2.477677,-0.000110,3
10.366,-71.372,2.477643,-0.000215,3
10.208,-71.249,2.477591,-0.000288,3
10.051,-71.126,2.477528,-0.000328,3
9.894,-71.003,2.477460,-0.000333,3
9.737,-70.880,2.477395,-0.000316,3
9.580,-70.757,2.477334,-0.000293,3
9.422,-70.634,2.477278,-0.000275,3
9.265,-70.511,2.477224,-0.000263,3
9.108,-70.388,2.477173,-0.000248,3
8.951,-70.265,2.477125,-0.000233,3
8.794,-70.141,2.477080,-0.000220,3
8.636,-70.018,2.477037,-0.000205,3
8.479,-69.895,2.476998,-0.000191,3
8.322,-69.772,2.476961,-0.000181,3
8.165,-69.649,2.476926,-0.000165,3
8.008,-69.526,2.476895,-0.000145,3
7.851,-69.403,2.476868,-0.000122,3
7.693,-69.279,2.476846,-0.000097,3
7.536,-69.156,2.476829,-0.000068,3
7.379,-69.033,2.476819,-0.000033,3
7.222,-68.910,2.476816,0.000003,3
7.065,-68.787,2.476820,0.000035,3
6.908,-68.664,2.476830,0.000067,3
6.750,-68.540,2.476847,0.000102,3
6.593,-68.417,2.476871,0.000135,3
6.436,-68.294,2.476901,0.000168,3
6.279,-68.171,2.476938,0.000203,3
6.122,-68.048,2.476982,0.000241,3
5.965,-67.925,2.477034,0.000277,3
5.807,-67.801,2.477093,0.000307,3
5.650,-67.678,2.477157,0.000326,3
5.493,-67.555,2.477223,0.000326,3
5.336,-67.432,2.477287,0.000306,3
5.179,-67.309,2.477345,0.000265,3
5.021,-67.186,2.477393,0.000215,3
4.864,-67.063,2.477431,0.000160,3
4.707,-66.940,2.477457,0.000108,3
4.550,-66.817,2.477474,0.000060,3
4.393,-66.694,2.477481,0.000008,3
4.235,-66.571,2.477477,-0.000043,3
4.078,-66.448,2.477464,-0.000090,3
3.921,-66.324,2.477441,-0.000143,3
3.764,-66.201,2.477407,-0.000195,3
3.606,-66.078,2.477363,-0.000250,3
3.449,-65.955,2.477307,-0.000301,3
3.292,-65.832,2.477243,-0.000331,3
3.135,-65.709,2.477175,-0.000343,3
2.978,-65.586,2.477106,-0.000335,3
2.820,-65.463,2.477041,-0.000308,3
2.663,-65.340,2.476983,-0.000263,3
2.506,-65.216,2.476936,-0.000215,3
2.349,-65.093,2.476897,-0.000173,3
2.192,-64.970,2.476867,-0.000130,3
2.035,-64.847,2.476845,-0.000088,3
1.877,-64.724,2.476832,-0.000045,3
1.720,-64.601,2.476827,-0.000005,3
1.563,-64.477,2.476830,0.000038,3
1.406,-64.354,2.476842,0.000083,3
1.249,-64.231,2.476863,0.000128,3
1.092,-64.108,2.476893,0.000168,3
0.935,-63.985,2.476930,0.000198,3
0.777,-63.862,2.476972,0.000215,3
0.620,-63.739,2.477016,0.000215,3
0.463,-63.615,2.477058,0.000203,3
0.306,-63.492,2.477097,0.000186,3
0.149,-63.369,2.477132,0.000163,3
-0.008,-63.246,2.477162,0.000143,3
-0.166,-63.123,2.477189,0.000123,3
-0.323,-63.000,2.477211,0.000100,3
-0.480,-62.877,2.477229,0.000080,3
-0.637,-62.754,2.477243,0.000060,3
-0.794,-62.630,2.477253,0.000042,3
-0.952,-62.507,2.477260,0.000023,3
-1.109,-62.384,2.477262,-0.000000,3
-1.266,-62.261,2.477260,-0.000020,3
-1.423,-62.138,2.477254,-0.000038,3
-1.581,-62.015,2.477245,-0.000050,3
-1.738,-61.892,2.477234,-0.000060,3
-1.895,-61.769,2.477221,-0.000068,3
-2.052,-61.646,2.477207,-0.000073,3
-2.209,-61.523,2.477192,-0.000078,3
