x,y,yaw,kappa,mode
-148.647,-141.816,2.467075,0.003677,3
-148.804,-141.691,2.467813,0.003630,3
-148.959,-141.567,2.468524,0.003503,3
-149.116,-141.443,2.469209,0.003363,3
-149.272,-141.319,2.469867,0.003229,3
-149.428,-141.194,2.470498,0.003090,3
-149.585,-141.070,2.471103,0.002962,3
-149.741,-140.946,2.471681,0.002834,3
-149.898,-140.823,2.472233,0.002696,3
-150.055,-140.699,2.472758,0.002559,3
-150.212,-140.575,2.473257,0.002435,3
-150.368,-140.452,2.473729,0.002302,3
-150.525,-140.328,2.474175,0.002162,3
-150.682,-140.204,2.474594,0.002030,3
-150.839,-140.081,2.474986,0.001897,3
-150.996,-139.957,2.475352,0.001765,3
-151.153,-139.834,2.475691,0.001632,3
-151.310,-139.711,2.476003,0.001497,3
-151.467,-139.587,2.476289,0.001367,3
-151.624,-139.464,2.476549,0.001236,3
-151.781,-139.341,2.476782,0.001101,3
-151.938,-139.218,2.476988,0.000968,3
-152.095,-139.095,2.477168,0.000833,3
-152.253,-138.972,2.477321,0.000698,3
-152.410,-138.849,2.477447,0.000566,3
-152.567,-138.725,2.477547,0.000436,3
-152.724,-138.602,2.477621,0.000303,3
-152.882,-138.479,2.477668,0.000165,3
-153.039,-138.356,2.477687,0.000023,3
-153.196,-138.233,2.477677,-0.000110,3
-153.353,-138.110,2.477643,-0.000215,3
-153.511,-137.987,2.477591,-0.000288,3
-153.668,-137.864,2.477528,-0.000328,3
-153.825,-137.741,2.477460,-0.000333,3
-153.982,-137.618,2.477395,-0.000316,3
-154.139,-137.495,2.477334,-0.000293,3
-154.297,-137.372,2.477278,-0.000275,3
-154.454,-137.249,2.477224,-0.000263,3
-154.611,-137.126,2.477173,-0.000248,3
-154.768,-137.003,2.477125,-0.000233,3
-154.925,-136.879,2.477080,-0.000220,3
-155.083,-136.756,2.477037,-0.000205,3
-155.240,-136.633,2.476998,-0.000191,3
-155.397,-136.510,2.476961,-0.000181,3
-155.554,-136.387,2.476926,-0.000165,3
-155.711,-136.264,2.476895,-0.000145,3
-155.868,-136.141,2.476868,-0.000122,3
-156.026,-136.017,2.476846,-0.000097,3
-156.183,-135.894,2.476829,-0.000068,3
-156.340,-135.771,2.476819,-0.000033,3
-156.497,-135.648,2.476816,0.000003,3
-156.654,-135.525,2.476820,0.000035,3
-156.811,-135.402,2.476830,0.000067,3
-156.969,-135.278,2.476847,0.000102,3
-157.126,-135.155,2.476871,0.000135,3
-157.283,-135.032,2.476901,0.000168,3
-157.440,-134.909,2.476938,0.000203,3
