x,y,yaw,kappa,mode
-236.451,-307.180,2.480111,0.000000,2
-236.610,-307.056,2.480111,0.000000,2
-236.769,-306.932,2.480111,0.000000,2
-236.928,-306.809,2.480111,0.000000,2
-237.087,-306.685,2.480111,0.000000,2
-237.246,-306.561,2.480111,0.000000,2
-237.405,-306.438,2.480111,0.000000,2
-237.564,-306.314,2.480111,0.000000,2
-237.723,-306.190,2.480111,0.000000,2
-237.881,-306.067,2.480111,0.000000,2
-238.040,-305.943,2.480111,0.000000,2
-238.199,-305.819,2.480111,0.000000,2
-238.358,-305.696,2.480111,0.000000,2
-238.517,-305.572,2.480111,0.000000,2
-238.676,-305.448,2.480111,0.000000,2
-238.835,-305.324,2.480111,0.000000,2
-238.994,-305.201,2.480111,0.000000,2
-239.152,-305.077,2.480111,0.000000,2
-239.311,-304.953,2.480111,0.000000,2
-239.470,-304.830,2.480111,0.000000,2
-239.629,-304.706,2.480111,0.000000,2
-239.788,-304.582,2.480111,0.000000,2
-239.947,-304.459,2.480111,0.000000,2
-240.106,-304.335,2.480111,0.000000,2
-240.265,-304.211,2.480111,0.000000,2
-240.424,-304.088,2.480111,0.000000,2
-240.582,-303.964,2.480111,0.000000,2
-240.741,-303.840,2.480111,0.000000,2
-240.900,-303.717,2.480111,0.000000,2
-241.059,-303.593,2.480111,0.000000,2
-241.218,-303.469,2.480111,0.000000,2
-241.377,-303.345,2.480111,0.000000,2
-241.536,-303.222,2.480111,0.000000,2
-241.695,-303.098,2.480111,0.000000,2
-241.853,-302.974,2.480111,0.000000,2
-242.012,-302.851,2.480111,0.000000,2
-242.171,-302.727,2.480111,0.000000,2
-242.330,-302.603,2.480111,0.000000,2
-242.489,-302.480,2.480111,0.000000,2
-242.648,-302.356,2.480111,0.000000,2
-242.807,-302.232,2.480111,0.000000,2
-242.966,-302.109,2.480111,0.000000,2
-243.125,-301.985,2.480111,0.000000,2
-243.283,-301.861,2.480111,0.000000,2
-243.442,-301.738,2.480111,0.000000,2
-243.601,-301.614,2.480111,0.000000,2
-243.760,-301.490,2.480111,0.000000,2
-243.919,-301.366,2.480111,0.000000,2
-244.078,-301.243,2.480111,0.000000,2
-244.237,-301.119,2.480111,0.000000,2
-244.396,-300.995,2.480111,0.021532,2
-244.554,-300.872,2.488764,0.014501,2
-244.714,-300.749,2.485941,-0.048881,2
-244.874,-300.627,2.469064,-0.114045,2
-245.032,-300.501,2.439947,-0.161684,2
-245.185,-300.371,2.403928,-0.173936,2
-245.332,-300.238,2.370545,-0.136166,2
-245.475,-300.099,2.349780,-0.054479,2
-245.615,-299.957,2.348817,0.056923,2
-245.755,-299.815,2.372482,0.119526,2
-245.898,-299.676,2.396488,0.109865,2
-246.045,-299.542,2.416245,0.073823,2
-246.193,-299.410,2.425812,0.024888,2
-246.343,-299.279,2.426137,-0.007067,2
-246.494,-299.148,2.422992,-0.011602,2
-246.644,-299.017,2.421507,0.003081,2
-246.793,-298.886,2.424217,0.026082,2
-246.943,-298.755,2.431876,0.047312,2
-247.095,-298.625,2.443102,0.055567,2
-247.247,-298.497,2.454032,0.047647,2
-247.401,-298.371,2.462051,0.034717,2
-247.556,-298.246,2.467853,0.024883,2
-247.711,-298.122,2.471945,0.015471,2
-247.867,-297.998,2.474007,0.005751,2
-248.024,-297.875,2.474238,-0.001331,2
-248.180,-297.752,2.473477,-0.004483,2
-248.336,-297.628,2.472454,-0.004374,2
-248.493,-297.505,2.471733,-0.002015,2
-248.648,-297.381,2.471652,0.001287,2
-248.805,-297.258,2.472245,0.003882,2
-248.961,-297.134,2.473200,0.003984,2
-249.117,-297.010,2.473833,0.002106,2
-249.273,-296.887,2.474038,0.000673,2
