x,y,yaw,kappa,mode
-236.440,-307.165,0.908974,0.000045,0
-236.317,-307.007,0.908983,0.000052,0
-236.194,-306.849,0.908995,0.000065,0
-236.071,-306.692,0.909009,0.000078,0
-235.948,-306.534,0.909026,0.000090,0
-235.826,-306.376,0.909045,0.000098,0
-235.703,-306.218,0.909065,0.000102,0
-235.580,-306.060,0.909086,0.000105,0
-235.457,-305.903,0.909107,0.000105,0
-235.334,-305.745,0.909128,0.000107,0
-235.211,-305.587,0.909150,0.000112,0
-235.088,-305.429,0.909173,0.000115,0
-234.965,-305.272,0.909196,0.000115,0
-234.842,-305.114,0.909219,0.000118,0
-234.720,-304.956,0.909243,0.000123,0
-234.597,-304.798,0.909268,0.000125,0
-234.474,-304.640,0.909293,0.000127,0
-234.351,-304.482,0.909319,0.000130,0
-234.228,-304.325,0.909345,0.000120,0
-234.105,-304.167,0.909367,0.000083,0
-233.983,-304.009,0.909378,0.000038,0
-233.860,-303.851,0.909382,0.000000,0
-233.737,-303.693,0.909378,-0.000038,0
-233.614,-303.536,0.909367,-0.000073,0
-233.491,-303.378,0.909349,-0.000110,0
-233.368,-303.220,0.909323,-0.000147,0
-233.245,-303.062,0.909290,-0.000185,0
-233.123,-302.904,0.909249,-0.000223,0
-233.000,-302.747,0.909201,-0.000258,0
-232.877,-302.589,0.909146,-0.000295,0
-232.754,-302.431,0.909083,-0.000332,0
-232.631,-302.273,0.909013,-0.000370,0
-232.508,-302.115,0.908935,-0.000408,0
-232.385,-301.958,0.908850,-0.000443,0
-232.262,-301.800,0.908758,-0.000449,0
-232.139,-301.642,0.908670,-0.000372,0
-232.016,-301.484,0.908609,-0.000240,0
-231.893,-301.327,0.908574,-0.000113,0
-231.770,-301.169,0.908564,0.000018,0
-231.648,-301.011,0.908581,0.000150,0
-231.525,-300.854,0.908624,0.000283,0
-231.402,-300.696,0.908694,0.000412,0
-231.279,-300.538,0.908789,0.000539,0
-231.156,-300.380,0.908910,0.000673,0
-231.033,-300.223,0.909058,0.000803,0
-230.910,-300.065,0.909231,0.000931,0
-230.787,-299.907,0.909431,0.001064,0
-230.664,-299.749,0.909657,0.001194,0
-230.541,-299.591,0.909909,0.001325,0
-230.419,-299.433,0.910187,0.001120,0
-230.296,-299.275,0.910357,0.000173,0
-230.173,-299.118,0.910256,-0.001183,0
-230.051,-298.960,0.909885,-0.002533,0
-229.928,-298.802,0.909243,-0.003880,0
-229.805,-298.644,0.908331,-0.005231,0
-229.682,-298.486,0.907148,-0.006115,0
-229.558,-298.329,0.905883,-0.005592,0
-229.435,-298.172,0.904914,-0.004077,0
-229.311,-298.014,0.904251,-0.002548,0
-229.188,-297.857,0.903894,-0.001016,0
-229.064,-297.700,0.903845,0.000347,0
-228.940,-297.543,0.904033,0.000976,0
-228.817,-297.386,0.904235,0.001009,0
-228.693,-297.229,0.904436,0.000995,0
-228.569,-297.071,0.904634,0.000984,0
-228.446,-296.914,0.904830,0.000974,0
-228.322,-296.757,0.905023,0.000964,0
-228.199,-296.600,0.905215,0.000952,0
-228.075,-296.442,0.905404,0.000939,0
-227.952,-296.285,0.905591,0.000929,0
-227.828,-296.128,0.905775,0.000917,0
-227.705,-295.970,0.905958,0.000908,0
-227.582,-295.813,0.906138,0.000894,0
